k_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
50,-851,-164,1599,63,-183,602,341,329,-406,-370,771,-862,1528,332,385,168,-304,956,56,-355,-392,605,-100,428,52,20,-187,3036,226,303,27,-202,334,532,-220,438,-85,-802,-1031,1040,361,901,177,-179,1676,202,7,-13,-3785,291,301,-107,-81,2206,-505,474,-210,-564,999,-496,292,-1,374,23
51,-131,-74,1098,78,-162,-714,362,143,764,786,-246,1114,-1986,-19,151,-394,-703,-696,-86,-995,-286,-34,234,-272,-751,-47,169,233,46,464,-89,-268,-240,23,-502,-758,-27,4,-217,95,-628,1910,-9,629,-354,39,-592,-31,-2932,-255,-251,331,-137,592,192,-1402,428,-24,2796,-918,-67,-273,-2539,17
52,135,-156,711,33,-57,-1232,126,-286,-440,148,-118,-184,-1479,18,-76,367,507,-644,-27,246,-564,-92,-177,194,-359,-165,723,-1148,-82,139,-394,-405,167,1505,-1088,-518,-226,1184,-38,-815,-167,1217,589,-75,44,-112,-642,-20,350,-318,-340,170,681,92,395,442,-310,716,-1853,-155,-92,308,-187,-244
53,-587,101,195,-157,-53,764,355,-425,261,-950,106,-48,81,-85,135,141,245,-796,63,627,-63,-287,-50,78,-276,-83,551,-508,5,-885,269,91,-475,-1526,-180,1478,36,926,-757,-5,627,-3575,-68,97,2530,-49,-76,-93,331,-240,417,-42,-1707,318,-16,384,-1082,218,-320,704,252,324,-822,125
54,677,-549,-2252,69,-124,-520,333,201,-295,16,65,-820,-463,34,-121,220,112,606,5,132,-35,148,-48,-61,-100,-107,235,-2832,-7,-1166,-391,254,398,-728,102,590,-462,-196,-856,-236,35,-1554,73,196,-1212,-61,130,276,1477,417,-259,7,-496,712,-364,422,-184,-746,-2286,-500,-87,66,748,-134
55,163,144,209,81,226,-832,-443,-310,320,556,364,1146,-294,9,52,103,-16,-1386,36,-321,-673,-922,141,-13,226,-61,-163,1082,-93,-105,-580,612,83,-734,-1548,-1680,-428,-2088,204,-805,-193,265,692,69,46,25,-374,18,1622,199,91,-250,-1832,624,452,490,44,1226,-1016,534,112,-180,-674,-62
56,-371,-33,-912,-226,-60,386,-145,-323,-44,-1164,147,-142,-1371,-35,58,298,-482,904,-113,-36,-634,-179,223,1,-67,-113,193,-1468,112,-92,-180,-186,-674,-284,-1262,1094,-231,1386,1380,-168,234,576,23,1058,1102,123,401,56,1146,30,368,-306,-447,172,164,-648,-372,580,-1163,19,76,17,-528,-229
57,750,-29,0,129,145,-214,-168,-240,-123,74,-258,996,-692,-176,-315,-63,198,-740,62,-335,927,326,-20,177,-426,-22,90,-3262,125,-589,-128,650,-323,-182,378,208,305,998,-27,-376,1975,-2807,424,-608,-442,-68,-186,-105,1075,-319,-292,182,-1128,-566,148,1318,-1248,-1076,-2652,751,-137,29,2739,-256
58,-162,-65,572,-201,133,-1304,-337,-77,11,358,113,602,-466,4,0,36,-349,1208,15,-722,-146,219,9,-243,-567,12,-518,-697,-32,-86,-676,190,-189,-386,-224,390,-196,-360,728,912,-492,-811,-290,1040,998,-148,67,-185,964,22,-520,-150,397,194,70,1330,-209,-60,441,2237,38,-238,-1072,-8
59,304,-34,-590,-206,95,414,-668,-302,-38,652,-63,-1616,1214,39,-464,-80,656,-952,192,-98,507,-1532,-199,186,-417,287,-152,-54,-311,-2359,-425,154,677,1646,832,504,-195,-1156,456,-326,-123,829,85,812,378,-203,130,-27,3421,-317,-169,108,-254,70,65,-856,588,522,1343,-41,77,325,86,43
60,-207,222,1702,-175,54,28,121,-288,162,738,137,482,-335,-104,126,-87,-117,164,12,-255,-1201,240,-76,-260,28,69,170,2017,-106,88,218,399,354,-298,-1414,-264,-402,-300,1932,-371,760,666,244,-690,820,68,-249,-137,-258,-107,-235,16,127,1000,172,-262,-17,-806,-552,-174,-124,-302,-1178,-107
61,445,-30,-2759,11,-149,576,-1037,-242,-194,104,-19,-1512,30,116,-70,37,220,294,119,74,-325,116,159,-193,-537,89,-637,509,284,-280,105,-203,422,1724,854,588,103,-1212,-1188,424,-462,692,-760,-21,-100,222,172,184,-240,-143,-39,74,-677,32,-290,1058,1042,-1054,2031,727,199,241,1498,189
62,566,134,-2051,-304,33,748,-593,366,18,1600,-195,-1062,-584,-134,-95,-38,-26,1248,162,120,360,-972,85,209,-596,171,-577,379,-216,-428,-405,584,809,233,-1188,222,-646,-1908,1304,-601,944,1668,487,-186,-2080,59,-56,-16,1289,-346,-234,-48,-1319,324,-54,-1156,484,-502,689,1056,-73,-244,592,142
63,-593,-189,3012,331,-136,-536,1070,-601,91,-192,386,402,-966,37,242,-178,-693,-146,-277,1245,-520,-67,-86,-459,-156,-152,138,-231,-94,-969,-39,1240,-320,215,-1440,408,237,378,-474,-27,515,-1290,594,311,-62,-9,124,-183,-85,58,-364,161,-99,-694,-80,-254,-512,1238,1541,-100,-81,-275,1171,-131
,
